observation_id,timestamp_utc,environment,service,endpoint,status_code,duration_ms,request_id,trace_id
base-031,2026-07-18T09:00:00Z,lab,frontend,/products,200,167.5,req-base-031,trace-base-031
base-032,2026-07-18T09:02:00Z,lab,frontend,/products,200,158.5,req-base-032,trace-base-032
base-033,2026-07-18T09:04:00Z,lab,frontend,/products,200,168.5,req-base-033,trace-base-033
base-034,2026-07-18T09:06:00Z,lab,frontend,/products,200,158.0,req-base-034,trace-base-034
base-035,2026-07-18T09:08:00Z,lab,frontend,/products,200,169.5,req-base-035,trace-base-035
base-036,2026-07-18T09:10:00Z,lab,frontend,/products,200,157.0,req-base-036,trace-base-036
base-037,2026-07-18T09:12:00Z,lab,frontend,/products,200,170.5,req-base-037,trace-base-037
base-038,2026-07-18T09:14:00Z,lab,frontend,/products,200,156.0,req-base-038,trace-base-038
base-039,2026-07-18T09:16:00Z,lab,frontend,/products,200,171.5,req-base-039,trace-base-039
base-040,2026-07-18T09:18:00Z,lab,frontend,/products,200,154.5,req-base-040,trace-base-040
base-041,2026-07-18T09:20:00Z,lab,frontend,/products,200,172.5,req-base-041,trace-base-041
base-042,2026-07-18T09:22:00Z,lab,frontend,/products,200,152.5,req-base-042,trace-base-042
base-043,2026-07-18T09:24:00Z,lab,frontend,/products,200,173.0,req-base-043,trace-base-043
base-044,2026-07-18T09:26:00Z,lab,frontend,/products,200,150.5,req-base-044,trace-base-044
base-045,2026-07-18T09:28:00Z,lab,frontend,/products,200,173.5,req-base-045,trace-base-045
base-046,2026-07-18T09:30:00Z,lab,frontend,/products,200,146.5,req-base-046,trace-base-046
base-047,2026-07-18T09:32:00Z,lab,frontend,/products,200,168.0,req-base-047,trace-base-047
base-048,2026-07-18T09:34:00Z,lab,frontend,/products,200,158.3,req-base-048,trace-base-048
base-049,2026-07-18T09:36:00Z,lab,frontend,/products,200,169.0,req-base-049,trace-base-049
base-050,2026-07-18T09:38:00Z,lab,frontend,/products,200,157.5,req-base-050,trace-base-050
base-051,2026-07-18T09:40:00Z,lab,frontend,/products,200,170.0,req-base-051,trace-base-051
base-052,2026-07-18T09:42:00Z,lab,frontend,/products,200,156.5,req-base-052,trace-base-052
base-053,2026-07-18T09:44:00Z,lab,frontend,/products,200,171.0,req-base-053,trace-base-053
base-054,2026-07-18T09:46:00Z,lab,frontend,/products,200,155.5,req-base-054,trace-base-054
base-055,2026-07-18T09:48:00Z,lab,frontend,/products,200,172.0,req-base-055,trace-base-055
base-056,2026-07-18T09:50:00Z,lab,frontend,/products,200,153.5,req-base-056,trace-base-056
base-057,2026-07-18T09:52:00Z,lab,frontend,/products,200,172.7,req-base-057,trace-base-057
base-058,2026-07-18T09:54:00Z,lab,frontend,/products,200,151.5,req-base-058,trace-base-058
base-059,2026-07-18T09:56:00Z,lab,frontend,/products,200,173.3,req-base-059,trace-base-059
base-060,2026-07-18T09:58:00Z,lab,frontend,/products,200,148.5,req-base-060,trace-base-060
